#Accession	Name	Function	Category	TC
TIGR00130	frhD	coenzyme F420-reducing hydrogenase, FrhD protein	Protein fate	134.95
TIGR00131	gal_kin	galactokinase	Energy metabolism	226.65
TIGR00132	gatA	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	Protein synthesis	481.1
TIGR00133	gatB	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	Protein synthesis	314.8
TIGR00134	gatE_arch	glutamyl-tRNA(Gln) amidotransferase, subunit E	Protein synthesis	319.55
TIGR00135	gatC	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	Protein synthesis	47.1
TIGR00136	gidA	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	Protein synthesis	524.85
TIGR00137	gid_trmFO	tRNA:m(5)U-54 methyltransferase	Protein synthesis	428.65
TIGR00138	rsmG_gidB	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	Protein synthesis	99.5
TIGR00139	h_aconitase	homoaconitase	Amino acid biosynthesis	529.9
TIGR00140	hupD	hydrogenase expression/formation protein	Protein fate	151.8
TIGR00142	hycI	hydrogenase maturation peptidase HycI	Protein fate	119.1
TIGR00143	hypF	carbamoyltransferase HypF	Protein fate	466.1
TIGR00144	beta_RFAP_syn	beta-ribofuranosylaminobenzene 5'-phosphate synthase family	Unknown function	113.5
TIGR00145	TIGR00145	FTR1 family protein	Unknown function	303.8
TIGR00147	TIGR00147	lipid kinase, YegS/Rv2252/BmrU family	Unknown function	118.65
TIGR00148	TIGR00148	decarboxylase, UbiD family	Unknown function	244.85
TIGR00149	TIGR00149_YjbQ	secondary thiamine-phosphate synthase enzyme	Unknown function	67.75
TIGR00150	T6A_YjeE	tRNA threonylcarbamoyl adenosine modification protein YjeE	Protein synthesis	60.1
TIGR00151	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	116.45
TIGR00152	TIGR00152	dephospho-CoA kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	65.55
TIGR00153	TIGR00153	TIGR00153 family protein	Hypothetical proteins	104.3
TIGR00154	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	138.7
TIGR00155	pqiA_fam	integral membrane protein, PqiA family	Unknown function	260.35
TIGR00156	TIGR00156	TIGR00156 family protein	Hypothetical proteins	108.15
TIGR00157	TIGR00157	ribosome small subunit-dependent GTPase A	Protein synthesis	100
TIGR00158	L9	ribosomal protein bL9	Protein synthesis	58.6
TIGR00159	TIGR00159	TIGR00159 family protein	Hypothetical proteins	188.8
TIGR00160	MGSA	methylglyoxal synthase	Energy metabolism	146.9
TIGR00161	TIGR00161	TIGR00161 family protein	Hypothetical proteins	199.25
TIGR00162	TIGR00162	TIGR00162 family protein	Hypothetical proteins	200
TIGR00163	PS_decarb	phosphatidylserine decarboxylase	Fatty acid and phospholipid metabolism	111.75
TIGR00164	PS_decarb_rel	phosphatidylserine decarboxylase homolog	Unknown function	144.75
TIGR00165	S18	ribosomal protein bS18	Protein synthesis	38.75
TIGR00166	S6	ribosomal protein bS6	Protein synthesis	42.9
TIGR00167	cbbA	ketose-bisphosphate aldolase	Energy metabolism	215.6
TIGR00168	infC	translation initiation factor IF-3	Protein synthesis	69.25
TIGR00169	leuB	3-isopropylmalate dehydrogenase	Amino acid biosynthesis	353.2
TIGR00170	leuC	3-isopropylmalate dehydratase, large subunit	Amino acid biosynthesis	560.25
TIGR00171	leuD	3-isopropylmalate dehydratase, small subunit	Amino acid biosynthesis	116.25
TIGR00172	maf	septum formation protein Maf	Cellular processes	117.15
TIGR00173	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	244.2
TIGR00174	miaA	tRNA dimethylallyltransferase	Protein synthesis	148.65
TIGR00175	mito_nad_idh	isocitrate dehydrogenase, NAD-dependent	Energy metabolism	432.4
TIGR00176	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	Biosynthesis of cofactors, prosthetic groups, and carriers	76.2
TIGR00177	molyb_syn	molybdenum cofactor synthesis domain	Other	85.35
TIGR00178	monomer_idh	isocitrate dehydrogenase, NADP-dependent	Energy metabolism	950
TIGR00179	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	Cell envelope	144.5
TIGR00180	parB_part	ParB/RepB/Spo0J family partition protein	Other	58.45
TIGR00181	pepF	oligoendopeptidase F	Protein fate	490.55
TIGR00182	plsX	fatty acid/phospholipid synthesis protein PlsX	Fatty acid and phospholipid metabolism	243.4
TIGR00183	prok_nadp_idh	isocitrate dehydrogenase, NADP-dependent	Energy metabolism	567.3
TIGR00184	purA	adenylosuccinate synthase	Purines, pyrimidines, nucleosides, and nucleotides	395.55
TIGR00185	tRNA_yibK_trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	Protein synthesis	190.6
TIGR00186	rRNA_methyl_3	RNA methyltransferase, TrmH family, group 3	Protein synthesis	160.15
TIGR00187	ribE	riboflavin synthase, alpha subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	156.6
TIGR00188	rnpA	ribonuclease P protein component	Transcription	38.35
TIGR00189	tesB	acyl-CoA thioesterase II	Fatty acid and phospholipid metabolism	292.85
TIGR00190	thiC	phosphomethylpyrimidine synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	460
TIGR00191	thrB	homoserine kinase	Amino acid biosynthesis	168.25
TIGR00192	urease_beta	urease, beta subunit	Central intermediary metabolism	90.3
TIGR00193	urease_gam	urease, gamma subunit	Central intermediary metabolism	82.3
TIGR00194	uvrC	excinuclease ABC subunit C	DNA metabolism	285.45
TIGR00195	exoDNase_III	exodeoxyribonuclease III	DNA metabolism	182.55
TIGR00196	yjeF_cterm	YjeF family C-terminal domain	Unknown function	129.85
TIGR00197	yjeF_nterm	YjeF family N-terminal domain	Unknown function	88.6
TIGR00198	cat_per_HPI	catalase/peroxidase HPI	Cellular processes	770.25
TIGR00199	PncC_domain	amidohydrolase, PncC family	DNA metabolism	68.9
TIGR00200	cinA_nterm	competence/damage-inducible protein CinA N-terminal domain	DNA metabolism	243.15
TIGR00201	comF	comF family protein	Cellular processes	233.55
TIGR00202	csrA	carbon storage regulator	Regulatory functions	70.1
TIGR00203	cydB	cytochrome d ubiquinol oxidase, subunit II	Energy metabolism	117.3
TIGR00204	dxs	1-deoxy-D-xylulose-5-phosphate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	465.95
TIGR00205	fliE	flagellar hook-basal body complex protein FliE	Cellular processes	48.1
TIGR00206	fliF	flagellar M-ring protein FliF	Cellular processes	129.75
TIGR00207	fliG	flagellar motor switch protein FliG	Cellular processes	226.7
TIGR00208	fliS	flagellar protein FliS	Cellular processes	53.75
TIGR00209	galT_1	galactose-1-phosphate uridylyltransferase	Energy metabolism	102.1
TIGR00210	gltS	sodium/glutamate symporter	Transport and binding proteins	310.75
TIGR00211	glyS	glycine--tRNA ligase, beta subunit	Protein synthesis	321.95
TIGR00212	hemC	hydroxymethylbilane synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	164
TIGR00213	GmhB_yaeD	D,D-heptose 1,7-bisphosphate phosphatase	Cell envelope	149.6
TIGR00214	lipB	lipoyl(octanoyl) transferase	Protein fate	83.55
TIGR00215	lpxB	lipid-A-disaccharide synthase	Cell envelope	190.25
TIGR00216	ispH_lytB	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	Biosynthesis of cofactors, prosthetic groups, and carriers	187.85
TIGR00217	malQ	4-alpha-glucanotransferase	Energy metabolism	205.65
TIGR00218	manA	mannose-6-phosphate isomerase, class I	Energy metabolism	116.2
TIGR00219	mreC	rod shape-determining protein MreC	Cell envelope	92.75
TIGR00220	mscL	large conductance mechanosensitive channel protein	Cellular processes	71
TIGR00221	nagA	N-acetylglucosamine-6-phosphate deacetylase	Central intermediary metabolism	225.65
TIGR00222	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	207.55
TIGR00223	panD	aspartate 1-decarboxylase	Biosynthesis of cofactors, prosthetic groups, and carriers	106
TIGR00224	pckA	phosphoenolpyruvate carboxykinase (ATP)	Energy metabolism	590.05
TIGR00225	prc	C-terminal processing peptidase	Protein fate	218.6
TIGR00227	ribD_Cterm	riboflavin-specific deaminase C-terminal domain	Other	150.15
TIGR00228	ruvC	crossover junction endodeoxyribonuclease RuvC	DNA metabolism	100.65
TIGR00229	sensory_box	PAS domain S-box protein	Regulatory functions	22.9
TIGR00230	sfsA	sugar fermentation stimulation protein	Regulatory functions	126.45
TIGR00231	small_GTP	small GTP-binding protein domain	Unknown function	42.5
TIGR00232	tktlase_bact	transketolase	Energy metabolism	682.25
TIGR00233	trpS	tryptophan--tRNA ligase	Protein synthesis	176.75
TIGR00234	tyrS	tyrosine--tRNA ligase	Protein synthesis	113.8
TIGR00235	udk	uridine kinase	Purines, pyrimidines, nucleosides, and nucleotides	220.3
TIGR00236	wecB	UDP-N-acetylglucosamine 2-epimerase	Cell envelope	210.15
TIGR00237	xseA	exodeoxyribonuclease VII, large subunit	DNA metabolism	180
TIGR00238	TIGR00238	KamA family protein	Cellular processes	199.2
TIGR00239	2oxo_dh_E1	oxoglutarate dehydrogenase (succinyl-transferring), E1 component	Energy metabolism	770
TIGR00240	ATCase_reg	aspartate carbamoyltransferase, regulatory subunit	Purines, pyrimidines, nucleosides, and nucleotides	148.55
TIGR00241	CoA_E_activ	putative CoA-substrate-specific enzyme activase	Other	125.4
TIGR00242	TIGR00242	division/cell wall cluster transcriptional repressor MraZ	Regulatory functions	98.35
TIGR00243	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Biosynthesis of cofactors, prosthetic groups, and carriers	315.7
TIGR00244	TIGR00244	transcriptional regulator NrdR	Regulatory functions	124.65
TIGR00245	TIGR00245	TIGR00245 family protein	Hypothetical proteins	164.8
TIGR00246	tRNA_RlmH_YbeA	rRNA large subunit m3Psi methyltransferase RlmH	Protein synthesis	149.7
TIGR00247	TIGR00247	conserved hypothetical protein, YceG family	Hypothetical proteins	103.4
TIGR00249	sixA	phosphohistidine phosphatase SixA	Regulatory functions	74.5
TIGR00250	RNAse_H_YqgF	putative transcription antitermination factor YqgF	Unknown function	43.25
TIGR00251	TIGR00251	TIGR00251 family protein	Hypothetical proteins	53.5
TIGR00252	TIGR00252	TIGR00252 family protein	Hypothetical proteins	69.05
TIGR00253	RNA_bind_YhbY	putative RNA-binding protein, YhbY family	Unknown function	78.5
TIGR00254	GGDEF	diguanylate cyclase (GGDEF) domain	Signal transduction	37.4
TIGR00255	TIGR00255	TIGR00255 family protein	Hypothetical proteins	167.5
TIGR00256	TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	Protein synthesis	101.5
TIGR00257	IMPACT_YIGZ	uncharacterized protein, YigZ family	Unknown function	167.95
TIGR00258	TIGR00258	inosine/xanthosine triphosphatase	Purines, pyrimidines, nucleosides, and nucleotides	117.1
TIGR00259	thylakoid_BtpA	membrane complex biogenesis protein, BtpA family	Protein fate	153.4
TIGR00260	thrC	threonine synthase	Amino acid biosynthesis	167.1
TIGR00261	traB	TraB family protein	Unknown function	178.35
TIGR00262	trpA	tryptophan synthase, alpha subunit	Amino acid biosynthesis	102.35
TIGR00263	trpB	tryptophan synthase, beta subunit	Amino acid biosynthesis	392.45
TIGR00264	TIGR00264	alpha-NAC homolog	Unknown function	98.75
TIGR00266	TIGR00266	TIGR00266 family protein	Hypothetical proteins	96.6
TIGR00267	TIGR00267	TIGR00267 family protein	Hypothetical proteins	156.95
TIGR00268	TIGR00268	TIGR00268 family protein	Hypothetical proteins	166.5
TIGR00269	TIGR00269	TIGR00269 family protein	Hypothetical proteins	62.75
TIGR00270	TIGR00270	TIGR00270 family protein	Hypothetical proteins	60.35
TIGR00271	TIGR00271	uncharacterized hydrophobic domain	Other	146.5
TIGR00272	DPH2	diphthamide biosynthesis protein 2	Protein fate	184.05
TIGR00273	TIGR00273	iron-sulfur cluster-binding protein	Energy metabolism	444.8
TIGR00274	TIGR00274	N-acetylmuramic acid 6-phosphate etherase	Cell envelope	302
TIGR00275	TIGR00275	flavoprotein, HI0933 family	Unknown function	183.8
TIGR00276	TIGR00276	epoxyqueuosine reductase	Protein synthesis	200
TIGR00277	HDIG	HDIG domain	Other	27.6
TIGR00278	TIGR00278	putative membrane protein insertion efficiency factor	Hypothetical proteins	57.25
TIGR00279	uL16_euk_arch	ribosomal protein uL16	Protein synthesis	223.55
TIGR00280	eL43_euk_arch	ribosomal protein eL43	Protein synthesis	95.8
TIGR00281	TIGR00281	segregation and condensation protein B	DNA metabolism	89.2
TIGR00282	TIGR00282	metallophosphoesterase, MG_246/BB_0505 family	Unknown function	254.15
TIGR00283	arch_pth2	peptidyl-tRNA hydrolase	Protein synthesis	82
TIGR00284	TIGR00284	dihydropteroate synthase-related protein	Unknown function	256.65
TIGR00285	TIGR00285	DNA-binding protein Alba	DNA metabolism	88.25
TIGR00286	TIGR00286	arginine decarboxylase, pyruvoyl-dependent	Energy metabolism	106.95
TIGR00287	cas1	CRISPR-associated endonuclease Cas1	Other	71.7
TIGR00288	TIGR00288	TIGR00288 family protein	Hypothetical proteins	178.45
TIGR00289	TIGR00289	TIGR00289 family protein	Hypothetical proteins	249.5
TIGR00290	MJ0570_dom	MJ0570-related uncharacterized domain	Other	114.6
TIGR00291	RNA_SBDS	rRNA metabolism protein, SBDS family	Protein synthesis	126.55
TIGR00292	TIGR00292	thiazole biosynthesis enzyme	Biosynthesis of cofactors, prosthetic groups, and carriers	148.3
TIGR00293	TIGR00293	prefoldin, alpha subunit	Protein fate	53.9
TIGR00294	TIGR00294	GTP cyclohydrolase	Biosynthesis of cofactors, prosthetic groups, and carriers	100.35
TIGR00295	TIGR00295	TIGR00295 family protein	Hypothetical proteins	172.35
TIGR00296	TIGR00296	uncharacterized protein, PH0010 family	Unknown function	91.05
TIGR00297	TIGR00297	TIGR00297 family protein	Hypothetical proteins	205.85
TIGR00298	TIGR00298	2-phosphosulfolactate phosphatase	Energy metabolism	175.05
TIGR00299	TIGR00299	TIGR00299 family protein	Hypothetical proteins	242.7
TIGR00300	TIGR00300	TIGR00300 family protein	Hypothetical proteins	410.8
TIGR00302	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein	Purines, pyrimidines, nucleosides, and nucleotides	39
TIGR00303	TIGR00303	TIGR00303 family protein	Hypothetical proteins	229.95
TIGR00304	TIGR00304	TIGR00304 family protein	Hypothetical proteins	62.65
TIGR00305	TIGR00305	putative toxin-antitoxin system toxin component, PIN family	Transcription	29.15
TIGR00306	apgM	phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form	Energy metabolism	264.5
TIGR00307	eS8	ribosomal protein eS8	Protein synthesis	78.25
TIGR00308	TRM1	N2,N2-dimethylguanosine tRNA methyltransferase	Protein synthesis	280.65
TIGR00309	V_ATPase_subD	V-type ATPase, D subunit	Transport and binding proteins	72.25
TIGR00310	ZPR1_znf	ZPR1 zinc finger domain	Other	78.3
TIGR00311	aIF-2beta	putative translation initiation factor aIF-2, beta subunit	Protein synthesis	137.65
TIGR00312	cbiD	cobalamin biosynthesis protein CbiD	Biosynthesis of cofactors, prosthetic groups, and carriers	166.9
TIGR00313	cobQ	cobyric acid synthase CobQ	Biosynthesis of cofactors, prosthetic groups, and carriers	309.9
TIGR00314	cdhA	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	Energy metabolism	781.3
TIGR00315	cdhB	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	Energy metabolism	101.2
